#,EDO,SERIAL,EQUIPO / ACTIVO,TIPO,DIAMETRO,TIPO,CONEXIÓN,PRESION,X,DIAMETRO,TIPO,CONEXIÓN,PRESION,X,DIAMETRO,TIPO,CONEXIÓN,PRESION,P.T.,SERVICIO,A / L,TEMP,D. EXT,PESO,PROPIEDAD,NOMENCLATURA FLEJE,L. FLEJE,,UNION
240,ON,PCT-23-4206-90-014,PCT-90-014,90,4      ,206,M,2000,X,4      ,206,H,2000,NA,NA,NA,NA,NA,2000,H2S,N/A,-29 - 121 C,14  1/4 ,,PCT,PCT-23-4206-90-014 / PCT-90-014 / MAWP 2000 / H2S / TEMP -29 - 121 C,17  1/4 ,,
241,ON,PCT-23-4206-90-015,PCT-90-015,90,4      ,206,M,2000,X,4      ,206,H,2000,NA,NA,NA,NA,NA,2000,H2S,N/A,-29 - 121 C,14  1/4 ,,PCT,PCT-23-4206-90-015 / PCT-90-015 / MAWP 2000 / H2S / TEMP -29 - 121 C,17  1/4 ,,
242,ON,PCT-23-4206-90-016,PCT-90-016,90,4      ,206,M,2000,X,4      ,206,H,2000,NA,NA,NA,NA,NA,2000,H2S,N/A,-29 - 121 C,14  1/4 ,,PCT,PCT-23-4206-90-016 / PCT-90-016 / MAWP 2000 / H2S / TEMP -29 - 121 C,17  1/4 ,,
243,ON,PCT-23-4206-90-017,PCT-90-017,90,4      ,206,M,2000,X,4      ,206,H,2000,NA,NA,NA,NA,NA,2000,H2S,N/A,-29 - 121 C,14  1/4 ,,PCT,PCT-23-4206-90-017 / PCT-90-017 / MAWP 2000 / H2S / TEMP -29 - 121 C,17  1/4 ,,
244,ON,PCT-23-4206-90-018,PCT-90-018,90,4      ,206,M,2000,X,4      ,206,H,2000,NA,NA,NA,NA,NA,2000,H2S,N/A,-29 - 121 C,14  1/4 ,,PCT,PCT-23-4206-90-018 / PCT-90-018 / MAWP 2000 / H2S / TEMP -29 - 121 C,17  1/4 ,,
245,ON,PCT-23-4206-90-019,PCT-90-019,90,4      ,206,M,2000,X,4      ,206,H,2000,NA,NA,NA,NA,NA,2000,H2S,N/A,-29 - 121 C,14  1/4 ,,PCT,PCT-23-4206-90-019 / PCT-90-019 / MAWP 2000 / H2S / TEMP -29 - 121 C,17  1/4 ,,
246,ON,PCT-23-4206-90-020,PCT-90-020,90,4      ,206,M,2000,X,4      ,206,H,2000,NA,NA,NA,NA,NA,2000,H2S,N/A,-29 - 121 C,14  1/4 ,,PCT,PCT-23-4206-90-020 / PCT-90-020 / MAWP 2000 / H2S / TEMP -29 - 121 C,17  1/4 ,,
247,ON,PCT-24-4206-T1-001,PCT-TEE-001,TEE (MXFXF),4      ,206,M,2000,X,4      ,206,F,2000,X,4      ,206,F,2000,2000,H2S,1      ,-29 - 121 C,18  1/4 ,,PCT,PCT-24-4206-T1-001 / PCT-TEE-001 / MAWP 2000 / H2S / TEMP -29 - 121 C,21  1/4 ,,
248,ON,PCT-24-4206-T1-002,PCT-TEE-002,TEE (MXFXF),4      ,206,M,2000,X,4      ,206,F,2000,X,4      ,206,F,2000,2000,H2S,1      ,-29 - 121 C,18  1/4 ,,PCT,PCT-24-4206-T1-002 / PCT-TEE-002 / MAWP 2000 / H2S / TEMP -29 - 121 C,21  1/4 ,,
249,ON,PCT-24-4206-T1-003,PCT-TEE-003,TEE (MXFXF),4      ,206,M,2000,X,4      ,206,F,2000,X,4      ,206,F,2000,2000,H2S,1      ,-29 - 121 C,18  1/4 ,,PCT,PCT-24-4206-T1-003 / PCT-TEE-003 / MAWP 2000 / H2S / TEMP -29 - 121 C,21  1/4 ,,
250,ON,PCT-24-4206-T1-004,PCT-TEE-004,TEE (MXFXF),4      ,206,M,2000,X,4      ,206,F,2000,X,4      ,206,F,2000,2000,H2S,1      ,-29 - 121 C,18  1/4 ,,PCT,PCT-24-4206-T1-004 / PCT-TEE-004 / MAWP 2000 / H2S / TEMP -29 - 121 C,21  1/4 ,,
251,ON,PCT-24-4206-T1-005,PCT-TEE-005,TEE (MXFXF),4      ,206,M,2000,X,4      ,206,F,2000,X,4      ,206,F,2000,2000,H2S,1      ,-29 - 121 C,18  1/4 ,,PCT,PCT-24-4206-T1-005 / PCT-TEE-005 / MAWP 2000 / H2S / TEMP -29 - 121 C,21  1/4 ,,
252,ON,PCT-24-4206-T1-006,PCT-TEE-006,TEE (MXFXF),4      ,206,M,2000,X,4      ,206,F,2000,X,4      ,206,F,2000,2000,H2S,1      ,-29 - 121 C,18  1/4 ,,PCT,PCT-24-4206-T1-006 / PCT-TEE-006 / MAWP 2000 / H2S / TEMP -29 - 121 C,21  1/4 ,,
253,ON,PCT-24-4206-T2-001,PCT-TEE-007,TEE (FXMXM),4      ,206,F,2000,X,4      ,206,M,2000,X,4      ,206,M,2000,2000,H2S,1      ,-29 - 121 C,18  1/4 ,,PCT,PCT-24-4206-T2-001 / PCT-TEE-007 / MAWP 2000 / H2S / TEMP -29 - 121 C,21  1/4 ,,
254,ON,PCT-24-4206-T2-002,PCT-TEE-008,TEE (FXMXM),4      ,206,F,2000,X,4      ,206,M,2000,X,4      ,206,M,2000,2000,H2S,1      ,-29 - 121 C,18  1/4 ,,PCT,PCT-24-4206-T2-002 / PCT-TEE-008 / MAWP 2000 / H2S / TEMP -29 - 121 C,21  1/4 ,,
255,ON,PCT-24-4206-T2-003,PCT-TEE-009,TEE (FXMXM),4      ,206,F,2000,X,4      ,206,M,2000,X,4      ,206,M,2000,2000,H2S,1      ,-29 - 121 C,18  1/4 ,,PCT,PCT-24-4206-T2-003 / PCT-TEE-009 / MAWP 2000 / H2S / TEMP -29 - 121 C,21  1/4 ,,
256,ON,PCT-24-4206-T2-004,PCT-TEE-010,TEE (FXMXM),4      ,206,F,2000,X,4      ,206,M,2000,X,4      ,206,M,2000,2000,H2S,1      ,-29 - 121 C,18  1/4 ,,PCT,PCT-24-4206-T2-004 / PCT-TEE-010 / MAWP 2000 / H2S / TEMP -29 - 121 C,21  1/4 ,,
257,ON,PCT-24-4206-T2-005,PCT-TEE-011,TEE (FXMXM),4      ,206,F,2000,X,4      ,206,M,2000,X,4      ,206,M,2000,2000,H2S,1      ,-29 - 121 C,18  1/4 ,,PCT,PCT-24-4206-T2-005 / PCT-TEE-011 / MAWP 2000 / H2S / TEMP -29 - 121 C,21  1/4 ,,
258,ON,PCT-24-4206-T2-006,PCT-TEE-012,TEE (FXMXM),4      ,206,F,2000,X,4      ,206,M,2000,X,4      ,206,M,2000,2000,H2S,1      ,-29 - 121 C,18  1/4 ,,PCT,PCT-24-4206-T2-006 / PCT-TEE-012 / MAWP 2000 / H2S / TEMP -29 - 121 C,21  1/4 ,,
259,ON,PCT-24-4206-P-001,PCT-PLG-001,TAPON,4      ,206,H,1440,X,  1/2 ,NPT,H,2000,NA,NA,NA,NA,NA,1440,H2S,N/A,-29 - 121 C,,,PCT,PCT-24-4206-P-001 / PCT-PLG-001 / MAWP 1440 / H2S / TEMP -29 - 121 C,3      ,,
260,ON,PCT-24-4206-P-002,PCT-PLG-002,TAPON,4      ,206,H,1440,X,  1/2 ,NPT,H,2000,NA,NA,NA,NA,NA,1440,H2S,N/A,-29 - 121 C,,,PCT,PCT-24-4206-P-002 / PCT-PLG-002 / MAWP 1440 / H2S / TEMP -29 - 121 C,3      ,,
261,ON,PCT-24-4206-C-001,PCT-CAP-001,TAPA,4      ,206,M,1440,X,  1/2 ,NPT,H,2000,NA,NA,NA,NA,NA,1440,H2S,N/A,-29 - 121 C,,,PCT,PCT-24-4206-C-001 / PCT-CAP-001 / MAWP 1440 / H2S / TEMP -29 - 121 C,3      ,,
262,ON,PCT-24-4206-C-002,PCT-CAP-002,TAPA,4      ,206,M,1440,X,  1/2 ,NPT,H,2000,NA,NA,NA,NA,NA,1440,H2S,N/A,-29 - 121 C,,,PCT,PCT-24-4206-C-002 / PCT-CAP-002 / MAWP 1440 / H2S / TEMP -29 - 121 C,3      ,,
263,ON,EBS4-206DJ-SS-10-1,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,10      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-10-1 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
264,ON,EBS4-206DJ-SS-10-2,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,10      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-10-2 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
265,ON,EBS4-206DJ-SS-10-3,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,10      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-10-3 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
266,ON,EBS4-206DJ-SS-10-4,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,10      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-10-4 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
267,ON,EBS4-206DJ-SS-10-5,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,10      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-10-5 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
268,ON,EBS4-206DJ-SS-10-6,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,10      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-10-6 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
269,ON,EBS4-206DJ-SS-10-7,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,10      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-10-7 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
270,ON,EBS4-206DJ-SS-10-10,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,10      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-10-10 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
271,ON,EBS4-206DJ-SS-5-1,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,5      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-5-1 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
272,ON,EBS4-206DJ-SS-5-2,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,5      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-5-2 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
273,ON,EBS4-206DJ-SS-5-3,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,5      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-5-3 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
274,ON,EBS4-206DJ-SS-5-4,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,5      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-5-4 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
275,ON,EBS4-206DJ-SS-5-5,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,5      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-5-5 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
276,ON,EBS4-206DJ-SS-5-6,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,5      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-5-6 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
277,ON,EBS4-206DJ-SS-5-7,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,5      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-5-7 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
278,ON,EBS4-206DJ-SS-5-8,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,5      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-5-8 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
279,ON,EBS4-206DJ-SS-4-1,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,4      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-4-1 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
280,ON,EBS4-206DJ-SS-4-2,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,4      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-4-2 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
281,ON,EBS4-206DJ-SS-4-3,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,4      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-4-3 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
282,ON,EBS4-206DJ-SS-4-4,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,4      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-4-4 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
283,ON,EBS4-206DJ-SS-4-5,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,4      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-4-5 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
284,ON,EBS4-206DJ-SS-4-6,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,4      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-4-6 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
285,ON,EBS4-206DJ-SS-4-7,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,4      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-4-7 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
286,ON,EBS4-206DJ-SS-4-8,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,4      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-4-8 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
287,ON,EBS4-206DJ-SS-3-1,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,3      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-3-1 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
288,ON,EBS4-206DJ-SS-3-2,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,3      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-3-2 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
289,ON,EBS4-206DJ-SS-3-3,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,3      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-3-3 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
290,ON,EBS4-206DJ-SS-3-4,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,3      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-3-4 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
291,ON,EBS4-206DJ-SS-3-5,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,3      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-3-5 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
292,ON,EBS4-206DJ-SS-3-6,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,3      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-3-6 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
293,ON,EBS4-206DJ-SS-3-7,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,3      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-3-7 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
294,ON,EBS4-206DJ-SS-3-8,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,3      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-3-8 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
295,ON,EBS4-206DJ-SS-2-1,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,2      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-2-1 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
296,ON,EBS4-206DJ-SS-2-2,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,2      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-2-2 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
297,ON,EBS4-206DJ-SS-2-3,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,2      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-2-3 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
298,ON,EBS4-206DJ-SS-2-4,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,2      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-2-4 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
299,ON,EBS4-206DJ-SS-2-5,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,2      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-2-5 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
300,ON,EBS4-206DJ-SS-2-6,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,2      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-2-6 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
301,ON,EBS4-206DJ-SS-2-7,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,2      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-2-7 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
302,ON,EBS4-206DJ-SS-2-8,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,2      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-2-8 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
303,ON,EBS4-206DJ-SS-1-1/5,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-1-1/5 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
304,ON,EBS4-206DJ-SS-1-2,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-1-2 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
305,ON,EBS4-206DJ-SS-1-3,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-1-3 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
306,ON,EBS4-206DJ-SS-1-4,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-1-4 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
307,ON,EBS4-206DJ-SS-1-6,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-1-6 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
308,ON,EBS4-206DJ-SS-1-7,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-1-7 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
309,ON,EBS4-206DJ-SS-1-8,,TUBO,4      ,206,M,1440,X,4      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,14  1/4 ,,PCT,EBS4-206DJ-SS-1-8 /  / MAWP 1440 / H2S / TEMP -29 - 121 C,17  1/4 ,,
310,ON,PCT-23-6206-1-001,PCT-PUP-0057,TUBO,6      ,206,M,1440,X,6      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,21  1/2 ,,PCT,PCT-23-6206-1-001 / PCT-PUP-0057 / MAWP 1440 / H2S / TEMP -29 - 121 C,24  1/2 ,,
311,ON,PCT-23-6206-1-002,PCT-PUP-0058,TUBO,6      ,206,M,1440,X,6      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,21  1/2 ,,PCT,PCT-23-6206-1-002 / PCT-PUP-0058 / MAWP 1440 / H2S / TEMP -29 - 121 C,24  1/2 ,,
312,ON,PCT-23-6206-1-003,PCT-PUP-0059,TUBO,6      ,206,M,1440,X,6      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,21  1/2 ,,PCT,PCT-23-6206-1-003 / PCT-PUP-0059 / MAWP 1440 / H2S / TEMP -29 - 121 C,24  1/2 ,,
313,ON,PCT-23-6206-1-004,PCT-PUP-0060,TUBO,6      ,206,M,1440,X,6      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,21  1/2 ,,PCT,PCT-23-6206-1-004 / PCT-PUP-0060 / MAWP 1440 / H2S / TEMP -29 - 121 C,24  1/2 ,,
314,ON,PCT-23-6206-1-005,PCT-PUP-0061,TUBO,6      ,206,M,1440,X,6      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,21  1/2 ,,PCT,PCT-23-6206-1-005 / PCT-PUP-0061 / MAWP 1440 / H2S / TEMP -29 - 121 C,24  1/2 ,,
315,ON,PCT-23-6206-1-006,PCT-PUP-0062,TUBO,6      ,206,M,1440,X,6      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,21  1/2 ,,PCT,PCT-23-6206-1-006 / PCT-PUP-0062 / MAWP 1440 / H2S / TEMP -29 - 121 C,24  1/2 ,,
316,ON,PCT-23-6206-1-007,PCT-PUP-0063,TUBO,6      ,206,M,1440,X,6      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,21  1/2 ,,PCT,PCT-23-6206-1-007 / PCT-PUP-0063 / MAWP 1440 / H2S / TEMP -29 - 121 C,24  1/2 ,,
317,ON,PCT-23-6206-1-008,PCT-PUP-0064,TUBO,6      ,206,M,1440,X,6      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,21  1/2 ,,PCT,PCT-23-6206-1-008 / PCT-PUP-0064 / MAWP 1440 / H2S / TEMP -29 - 121 C,24  1/2 ,,
318,ON,PCT-23-6206-1-009,PCT-PUP-0065,TUBO,6      ,206,M,1440,X,6      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,21  1/2 ,,PCT,PCT-23-6206-1-009 / PCT-PUP-0065 / MAWP 1440 / H2S / TEMP -29 - 121 C,24  1/2 ,,
319,ON,PCT-23-6206-1-010,PCT-PUP-0066,TUBO,6      ,206,M,1440,X,6      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,1      ,-29 - 121 C,21  1/2 ,,PCT,PCT-23-6206-1-010 / PCT-PUP-0066 / MAWP 1440 / H2S / TEMP -29 - 121 C,24  1/2 ,,
320,ON,PCT-23-6206-2-001,PCT-PUP-0067,TUBO,6      ,206,M,1440,X,6      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,2      ,-29 - 121 C,21  1/2 ,,PCT,PCT-23-6206-2-001 / PCT-PUP-0067 / MAWP 1440 / H2S / TEMP -29 - 121 C,24  1/2 ,,
321,ON,PCT-23-6206-2-002,PCT-PUP-0068,TUBO,6      ,206,M,1440,X,6      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,2      ,-29 - 121 C,21  1/2 ,,PCT,PCT-23-6206-2-002 / PCT-PUP-0068 / MAWP 1440 / H2S / TEMP -29 - 121 C,24  1/2 ,,
322,ON,PCT-23-6206-2-003,PCT-PUP-0069,TUBO,6      ,206,M,1440,X,6      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,2      ,-29 - 121 C,21  1/2 ,,PCT,PCT-23-6206-2-003 / PCT-PUP-0069 / MAWP 1440 / H2S / TEMP -29 - 121 C,24  1/2 ,,
323,ON,PCT-23-6206-2-004,PCT-PUP-0070,TUBO,6      ,206,M,1440,X,6      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,2      ,-29 - 121 C,21  1/2 ,,PCT,PCT-23-6206-2-004 / PCT-PUP-0070 / MAWP 1440 / H2S / TEMP -29 - 121 C,24  1/2 ,,
324,ON,PCT-23-6206-2-005,PCT-PUP-0071,TUBO,6      ,206,M,1440,X,6      ,206,H,1440,NA,NA,NA,NA,NA,1440,H2S,2      ,-29 - 121 C,21  1/2 ,,PCT,PCT-23-6206-2-005 / PCT-PUP-0071 / MAWP 1440 / H2S / TEMP -29 - 121 C,24  1/2 ,,
