#,EDO,SERIAL,EQUIPO / ACTIVO,TIPO,DIAMETRO,TIPO,CONEXIÓN,PRESION,X,DIAMETRO,TIPO,CONEXIÓN,PRESION,X,DIAMETRO,TIPO,CONEXIÓN,PRESION,P.T.,SERVICIO,A / L,TEMP,D. EXT,PESO,PROPIEDAD,NOMENCLATURA FLEJE,L. FLEJE,,UNION
20,ON,1807497,PCT-CA-11,CARRETE ADAPTADOR,16  3/4 ,B,BX-162,5000,X,18  3/4 ,B,BX-164,10000,NA,NA,NA,NA,NA,5000,H2S,23  5/8 ,-29 - 121 C,,,PCT,1807497 / PCT-CA-11 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
21,ON,,PCT-CA-12,CARRETE ADAPTADOR,13  5/8 ,B,BX-160,5000,X,13  5/8 ,B,BX-159,10000,NA,NA,NA,NA,NA,5000,H2S,23  5/8 ,-29 - 121 C,,,PCT, / PCT-CA-12 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
22,ON,1905027,PCT-CA-13,CARRETE ADAPTADOR,13  5/8 ,B,BX-159,10000,X,18  3/4 ,B,BX-164,10000,NA,NA,NA,NA,NA,10000,H2S,39  3/8 ,-29 - 121 C,,,PCT,1905027 / PCT-CA-13 / MAWP 10000 / H2S / TEMP -29 - 121 C,3      ,,
23,ON,2020018,PCT-CA-14,CARRETE ADAPTADOR,18  3/4 ,B,BX-163,5000,X,18  3/4 ,B,BX-164,10000,NA,NA,NA,NA,NA,5000,H2S,23 41/50,-29 - 121 C,,,PCT,2020018 / PCT-CA-14 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
24,ON,,PCT-CA-15,CARRETE ADAPTADOR,13  5/8 ,B,BX-159,10000,X,21  1/4 ,B,BX-165,5000,NA,NA,NA,NA,NA,5000,H2S,27  5/9 ,-29 - 121 C,,,PCT, / PCT-CA-15 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
25,ON,,PCT-CA-16,CARRETE ADAPTADOR,13  5/8 ,B,RX-57,3000,X,13  5/8 ,B,BX-160,5000,NA,NA,NA,NA,NA,3000,H2S,20      ,-29 - 121 C,,,PCT, / PCT-CA-16 / MAWP 3000 / H2S / TEMP -29 - 121 C,3      ,,
26,ON,2502190,PCT-CA-17,CARRETE ADAPTADOR,18  3/4 ,B,BX-164,10000,X,21  1/4 ,B,BX-165,5000,NA,NA,NA,NA,NA,5000,H2S,27  5/9 ,-29 - 121 C,,,PCT,2502190 / PCT-CA-17 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
27,ON,,PCT-CA-18,CARRETE ADAPTADOR,7  1/16,B,R-46,5000,X,11      ,B,R-54 / RX-54,5000,NA,NA,NA,NA,NA,5000,H2S,23 51/82,-29 - 121 C,,,PCT, / PCT-CA-18 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
28,ON,,PCT-CE-01,CARRETE ESPACIADOR,13  5/8 ,B,BX-160,5000,X,13  5/8 ,B,BX-160,5000,NA,NA,NA,NA,NA,5000,H2S,23  3/8 ,-29 - 121 C,,,PCT, / PCT-CE-01 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
29,ON,,PCT-CE-02,CARRETE ESPACIADOR,11      ,B,BX-158,10000,X,11      ,B,BX-158,10000,NA,NA,NA,NA,NA,10000,H2S,16  1/2 ,-29 - 121 C,,,PCT, / PCT-CE-02 / MAWP 10000 / H2S / TEMP -29 - 121 C,3      ,,
