,,,,,,,,,,FECHA MODIFICACIÓN:,16-feb-23
NC,ESTADO,EQUIPO/ACTIVO,DESCRIPCIÓN,TIPO DE PRUEBA,ÁREA A INSPECIONAR,FECHA REALIZACIÓN,NO. DE REPORTE / CERTIFICADO,EMISOR,REALIZÓ,PROXIMA PRUEBA,DIAS DE VIGENCIA
111,ACTIVO,PCT-CE-18,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 200 CM ALTURA",U.T.T.,CUERPO,04-feb-23,TR-REF-PCT-042-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,04-feb-24,-644
,ACTIVO,PCT-CE-18,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 200 CM ALTURA",M.T. / L.P.,EXTERIOR,08-feb-23,TR-REF-PCT-044-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
112,ACTIVO,PCT-CE-18,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 200 CM ALTURA",M.T. / L.P.,INTERIOR,,FALTA,TRUESPECT,,,
113,ACTIVO,PCT-CE-18,"CARRETE ESPACIADOR 13 5/8"" 10K X 13 5/8"" 10K X 200 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
114,ACTIVO,PCT-DSA-01,"BRIDA ADAPTADORA 11"" 5K X 13 5/8"" 5K X 13.08 CM ALTURA",M.T. / L.P.,CARA,,FALTA,TRUESPECT,,,#VALOR!
115,ACTIVO,PCT-DSA-01,"BRIDA ADAPTADORA 11"" 5K X 13 5/8"" 5K X 13.08 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,27-mar-22,TR-REF-PCT-057-22,TRUESPECT,,27-mar-23,-958
116,ACTIVO,PCT-DSA-01,"BRIDA ADAPTADORA 11"" 5K X 13 5/8"" 5K X 13.08 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
117,ACTIVO,PCT-DSA-02,"BRIDA ADAPTADORA 11"" 10K X 13 5/8"" 5K X 13.45 CM ALTURA",M.T. / L.P.,CARA,20-ene-23,TR-REF-PCT-010-23,TRUESPECT,DANIEL HIDALGO MAGAÑA,20-ene-24,-659
118,ACTIVO,PCT-DSA-02,"BRIDA ADAPTADORA 11"" 10K X 13 5/8"" 5K X 13.45 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,13-feb-23,TR-REF-PCT-071-23,TRUESPECT,MIGUEL ANGEL HERNANDEZ VELAZCO,13-feb-24,-635
119,ACTIVO,PCT-DSA-02,"BRIDA ADAPTADORA 11"" 10K X 13 5/8"" 5K X 13.45 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
120,ACTIVO,PCT-DSA-03,"BRIDA ADAPTADORA 11"" 5K X 11"" 10K X 13.2 CM ALTURA",M.T. / L.P.,CARA,26-may-22,TR-REF-PCT-085-22,TRUESPECT,,26-may-23,-898
121,ACTIVO,PCT-DSA-03,"BRIDA ADAPTADORA 11"" 5K X 11"" 10K X 13.2 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,,FALTA,TRUESPECT,,,#VALOR!
122,ACTIVO,PCT-DSA-03,"BRIDA ADAPTADORA 11"" 5K X 11"" 10K X 13.2 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
123,INACTIVO,PCT-DSA-05,"BRIDA ADAPTADORA 13 5/8"" 5K X 13 5/8"" 10K X 18.28 CM ALTURA",M.T. / L.P.,CARA,,FALTA,,,,#VALOR!
124,INACTIVO,PCT-DSA-05,"BRIDA ADAPTADORA 13 5/8"" 5K X 13 5/8"" 10K X 18.28 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,,FALTA,,,,#VALOR!
125,INACTIVO,PCT-DSA-05,"BRIDA ADAPTADORA 13 5/8"" 5K X 13 5/8"" 10K X 18.28 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
126,ACTIVO,PCT-DSA-06,"BRIDA ADAPTADORA 11"" 5K X 11"" 10K X 13.2 CM ALTURA",M.T. / L.P.,CARA,26-may-22,TR-REF-PCT-084-22,TRUESPECT,,26-may-23,-898
127,ACTIVO,PCT-DSA-06,"BRIDA ADAPTADORA 11"" 5K X 11"" 10K X 13.2 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,,FALTA,TRUESPECT,,,#VALOR!
128,ACTIVO,PCT-DSA-06,"BRIDA ADAPTADORA 11"" 5K X 11"" 10K X 13.2 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
129,INACTIVO,PCT-DSA-07,"BRIDA ADAPTADORA 9"" 10K X 11"" 10K X 15.49 CM ALTURA",M.T. / L.P.,CARA,,FALTA,,,,#VALOR!
130,INACTIVO,PCT-DSA-07,"BRIDA ADAPTADORA 9"" 10K X 11"" 10K X 15.49 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,,FALTA,,,,#VALOR!
131,INACTIVO,PCT-DSA-07,"BRIDA ADAPTADORA 9"" 10K X 11"" 10K X 15.49 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
132,ACTIVO,PCT-DSA-08,"BRIDA ADAPTADORA 7 1/16” 5K X 11"" 10K X 15.49 CM ALTURA",M.T. / L.P.,CARA,18-mar-22,TR-REF-PCT-043-22,TRUESPECT,,18-mar-23,-967
133,ACTIVO,PCT-DSA-08,"BRIDA ADAPTADORA 7 1/16” 5K X 11"" 10K X 15.49 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,27-mar-22,TR-REF-PCT-058-22,TRUESPECT,,27-mar-23,-958
134,ACTIVO,PCT-DSA-08,"BRIDA ADAPTADORA 7 1/16” 5K X 11"" 10K X 15.49 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
135,INACTIVO,PCT-DSA-09,"BRIDA ADAPTADORA 7 1/16” 5K X 11"" 10K X 15.49 CM ALTURA",M.T. / L.P.,CARA,,FALTA,,,,#VALOR!
136,INACTIVO,PCT-DSA-09,"BRIDA ADAPTADORA 7 1/16” 5K X 11"" 10K X 15.49 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,,FALTA,,,,#VALOR!
137,INACTIVO,PCT-DSA-09,"BRIDA ADAPTADORA 7 1/16” 5K X 11"" 10K X 15.49 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
138,INACTIVO,PCT-DSA-10,"BRIDA ADAPTADORA 13 5/8"" 5K X 13 5/8"" 10K X 18.53 CM ALTURA",M.T. / L.P.,CARA,,FALTA,,,,#VALOR!
139,INACTIVO,PCT-DSA-10,"BRIDA ADAPTADORA 13 5/8"" 5K X 13 5/8"" 10K X 18.53 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,,FALTA,,,,#VALOR!
140,INACTIVO,PCT-DSA-10,"BRIDA ADAPTADORA 13 5/8"" 5K X 13 5/8"" 10K X 18.53 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
141,ACTIVO,PCT-DSA-11,"BRIDA ADAPTADORA 13 5/8"" 5K X 13 5/8"" 10K X 15.99 CM ALTURA",M.T. / L.P.,CARA,03-feb-23,TR-REF-PCT-027-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
142,ACTIVO,PCT-DSA-11,"BRIDA ADAPTADORA 13 5/8"" 5K X 13 5/8"" 10K X 15.99 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,09-feb-23,TR-REF-PCT-065-23,TRUESPECT,MELQUICEDEC AREVALO HERNANDEZ,09-feb-24,-639
143,ACTIVO,PCT-DSA-11,"BRIDA ADAPTADORA 13 5/8"" 5K X 13 5/8"" 10K X 15.99 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
144,ACTIVO,PCT-DSA-12,"BRIDA ADAPTADORA 13 5/8"" 5K X 13 5/8"" 10K X 15.99 CM ALTURA",M.T. / L.P.,CARA,03-feb-23,TR-REF-PCT-028-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
145,ACTIVO,PCT-DSA-12,"BRIDA ADAPTADORA 13 5/8"" 5K X 13 5/8"" 10K X 15.99 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,,FALTA,TRUESPECT,,,#VALOR!
146,ACTIVO,PCT-DSA-12,"BRIDA ADAPTADORA 13 5/8"" 5K X 13 5/8"" 10K X 15.99 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
147,ACTIVO,PCT-DSA-13,"BRIDA ADAPTADORA 13 5/8"" 5K X 13 5/8"" 10K X 15.99 CM ALTURA",M.T. / L.P.,CARA,03-feb-23,TR-REF-PCT-029-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
148,ACTIVO,PCT-DSA-13,"BRIDA ADAPTADORA 13 5/8"" 5K X 13 5/8"" 10K X 15.99 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,09-feb-23,TR-REF-PCT-066-23,TRUESPECT,MELQUICEDEC AREVALO HERNANDEZ,09-feb-24,-639
149,ACTIVO,PCT-DSA-13,"BRIDA ADAPTADORA 13 5/8"" 5K X 13 5/8"" 10K X 15.99 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
150,INACTIVO,PCT-DSA-14,"BRIDA ADAPTADORA 7 1/16” 10K X 13 5/8"" 10K X 19.69 CM ALTURA",M.T. / L.P.,CARA,,FALTA,,,,#VALOR!
151,INACTIVO,PCT-DSA-14,"BRIDA ADAPTADORA 7 1/16” 10K X 13 5/8"" 10K X 19.69 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,,FALTA,,,,#VALOR!
152,INACTIVO,PCT-DSA-14,"BRIDA ADAPTADORA 7 1/16” 10K X 13 5/8"" 10K X 19.69 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
153,INACTIVO,PCT-DSA-15,"BRIDA ADAPTADORA 9"" 10K X 11"" 10K X 15.49 CM ALTURA",M.T. / L.P.,CARA,,FALTA,,,,#VALOR!
154,INACTIVO,PCT-DSA-15,"BRIDA ADAPTADORA 9"" 10K X 11"" 10K X 15.49 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,,FALTA,,,,#VALOR!
155,INACTIVO,PCT-DSA-15,"BRIDA ADAPTADORA 9"" 10K X 11"" 10K X 15.49 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
156,INACTIVO,PCT-DSA-16,"BRIDA ADAPTADORA 7 1/16” 5K X 11"" 10K X 15.49 CM ALTURA",M.T. / L.P.,CARA,,FALTA,,,,#VALOR!
157,INACTIVO,PCT-DSA-16,"BRIDA ADAPTADORA 7 1/16” 5K X 11"" 10K X 15.49 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,,FALTA,,,,#VALOR!
158,INACTIVO,PCT-DSA-16,"BRIDA ADAPTADORA 7 1/16” 5K X 11"" 10K X 15.49 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
159,ACTIVO,PCT-DSA-17,"BRIDA ADAPTADORA 11"" 10K X 13 5/8"" 10K X 17.78 CM ALTURA",M.T. / L.P.,CARA,16-mar-22,TR-REF-PCT-039-22,TRUESPECT,,16-mar-23,-969
160,ACTIVO,PCT-DSA-17,"BRIDA ADAPTADORA 11"" 10K X 13 5/8"" 10K X 17.78 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,23-mar-22,TR-REF-PCT-049-22,TRUESPECT,,23-mar-23,-962
161,ACTIVO,PCT-DSA-17,"BRIDA ADAPTADORA 11"" 10K X 13 5/8"" 10K X 17.78 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
162,INACTIVO,PCT-DSA-18,"BRIDA ADAPTADORA 13 5/8"" 10K X 20 3/4"" 3K X 13.97 CM ALTURA",M.T. / L.P.,CARA,,FALTA,,,,#VALOR!
163,INACTIVO,PCT-DSA-18,"BRIDA ADAPTADORA 13 5/8"" 10K X 20 3/4"" 3K X 13.97 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,,FALTA,,,,#VALOR!
164,INACTIVO,PCT-DSA-18,"BRIDA ADAPTADORA 13 5/8"" 10K X 20 3/4"" 3K X 13.97 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
165,ACTIVO,PCT-DSA-19,"BRIDA ADAPTADORA 16 3/4” 5K X 20 3/4"" 3K X 13.97 CM ALTURA",M.T. / L.P.,CARA,13-feb-23,TR-REF-PCT-070-23,TRUESPECT,MIGUEL ANGEL HERNANDEZ VELAZCO,13-feb-24,-635
166,ACTIVO,PCT-DSA-19,"BRIDA ADAPTADORA 16 3/4” 5K X 20 3/4"" 3K X 13.97 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,,FALTA,TRUESPECT,,,#VALOR!
167,ACTIVO,PCT-DSA-19,"BRIDA ADAPTADORA 16 3/4” 5K X 20 3/4"" 3K X 13.97 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
168,ACTIVO,PCT-DSA-20,"BRIDA ADAPTADORA 13 5/8"" 5K X 16 3/4” 5K X 13.5 CM ALTURA",M.T. / L.P.,CARA,04-feb-23,TR-REF-PCT-035-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,04-feb-24,-644
169,ACTIVO,PCT-DSA-20,"BRIDA ADAPTADORA 13 5/8"" 5K X 16 3/4” 5K X 13.5 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,09-feb-23,TR-REF-PCT-067-23,TRUESPECT,MELQUICEDEC AREVALO HERNANDEZ,09-feb-24,-639
170,ACTIVO,PCT-DSA-20,"BRIDA ADAPTADORA 13 5/8"" 5K X 16 3/4” 5K X 13.5 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
171,ACTIVO,PCT-DSA-21,"BRIDA ADAPTADORA 13 5/8"" 5K X 18 3/4"" 5K  X 17 CM ALTURA",M.T. / L.P.,CARA,04-feb-23,TR-REF-PCT-036-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,04-feb-24,-644
172,ACTIVO,PCT-DSA-21,"BRIDA ADAPTADORA 13 5/8"" 5K X 18 3/4"" 5K  X 17 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,13-feb-23,TR-REF-PCT-070-23,TRUESPECT,MIGUEL ANGEL HERNANDEZ VELAZCO,13-feb-24,-635
173,ACTIVO,PCT-DSA-21,"BRIDA ADAPTADORA 13 5/8"" 5K X 18 3/4"" 5K  X 17 CM ALTURA",P.T.,GENERAL,,FALTA,,,,#VALOR!
174,ACTIVO,PCT-DSA-22,"BRIDA ADAPTADORA 16 3/4” 5K X 18 3/4"" 5K  X 17 CM ALTURA",M.T. / L.P.,CARA,03-feb-23,TR-REF-PCT-030-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
175,ACTIVO,PCT-DSA-22,"BRIDA ADAPTADORA 16 3/4” 5K X 18 3/4"" 5K  X 17 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,09-feb-23,TR-REF-PCT-064-23,TRUESPECT,MELQUICEDEC AREVALO HERNANDEZ,09-feb-24,-639
176,ACTIVO,PCT-DSA-22,"BRIDA ADAPTADORA 16 3/4” 5K X 18 3/4"" 5K  X 17 CM ALTURA",P.T.,GENERAL,,FALTA,,,,#VALOR!
177,ACTIVO,PCT-SSA-01,"BRIDA DE PASO 7 1/16” 5K X 13 5/8"" 5K X 11.43 CM ALTURA",M.T. / L.P.,CARA,03-feb-23,TR-REF-PCT-026-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
178,ACTIVO,PCT-SSA-01,"BRIDA DE PASO 7 1/16” 5K X 13 5/8"" 5K X 11.43 CM ALTURA",M.T. / L.P.,ESPÁRRAGOS,09-feb-23,TR-REF-PCT-068-23,TRUESPECT,MELQUICEDEC AREVALO HERNANDEZ,09-feb-24,-639
179,ACTIVO,PCT-SSA-01,"BRIDA DE PASO 7 1/16” 5K X 13 5/8"" 5K X 11.43 CM ALTURA",P.T.,GENERAL,,FALTA,,,,#VALOR!
,,,,,,,,,,00-ene-00,
,,,,,,,,,,00-ene-00,
,,,,,,,,,,00-ene-00,
,,,,,,,,,,00-ene-00,
,,,,,,,,,,00-ene-00,
,,,,,,,,,,00-ene-00,
,,,,,,,,,,00-ene-00,
,,,,,,,,,,00-ene-00,
,,,,,,,,,,00-ene-00,
,,,,,,,,,,00-ene-00,
,,,,,,,,,,00-ene-00,
,,,,,,,,,,00-ene-00,
,,,,,,,,,,00-ene-00,
,,,,,,,,,,00-ene-00,
,,,,,,,,,,00-ene-00,
,,,,,,,,,,00-ene-00,
,,,,,,,,,,00-ene-00,
,,,,,,,,,,00-ene-00,
,,,,,,,,,,00-ene-00,
,,,,,GENERAL,,,,,00-ene-00,
,,,,,,,,,,,
,,,,,,,,,,,
,ACTIVO,148,0,C. EDDY,CABLE,0,,,,,151
,INACTIVO,30,0,CALIBRACIÓN,CARA,60,16-feb-23,MAYOR,,,30
,F. SERV.,6,92,M.T. / L.P.,CONEXIONES,0,18-feb-22,MENOR,,,3
,,184,0,P. CARGA,CUERPO,32,,,,,
,,,60,P.T.,ESPÁRRAGOS,22,,,,,
,,,32,U.T.T.,GENERAL,61,,,,,
,,,0,V.T.,INTERIOR,5,,,,,
,,,0,BOROSCOPÍA,PUNTOS DE IZAJE,0,,,,,
,,,0,REFRENDO,ROSCAS,0,,,,,
,,,0,SEGURO,SENSORES,0,,,,,
,,,184,,TANQUE,0,183,REPORTES,,,
,,,,,EXTERIOR,5,,,,,
,,,,,,185,-2,PENDIENTES,,,
